,roles,companies,locations,experience,skills,salary,job_desc
0,Internship - MBA Fresher,Home Interior Design E Commerce,Bangalore/Bengaluru,0-0 Yrs,"Communication Skills
Innovative
Excel
Data Management",Not disclosed,Role : InternshipLooking for MBA Freshers onlyGood knowledge in MS-Excel & Spreadsheets...
1,Job Opportunity For Freshers- Internship (Pathology Lab),Dr Lal PathLabs,"Allahabad/Prayagraj, Bareilly, Faizabad, Jhansi, Gorakhpur, Haldwani, Lucknow, Agra, Moradabad",0-0 Yrs,"Pathology
medical
mlt
Lab
dmlt","50,000 - 1,00,000 PA.",Freshers can also apply
2,Marketing internship | Sales | Andhra Pradesh | Dailyrounds- Marrow,Neuroglia Health Pvt Ltd,"Tirupati, Vijayawada, Visakhapatnam",0-1 Yrs,"B2C
Cold Calling
Marketing
Sales
Events
Medical Education
Education Industry
Stock Exchange",Not disclosed,"Marketing Intern RoleEvents: Attend events and college festivals, managing entire event..."
3,Airtel is Hiring Business Development (Sales) Internship,Bharti Airtel Limited,"New Delhi, Gurgaon/Gurugram, Delhi / NCR",0-2 Yrs,"Channel Sales
Business Development
Sales
Telecom Sales
Bdm
MIS Reporting
Primary Sales
Distributor Handling",Not disclosed,Selected intern's day-to-day responsibilities include:1. Channel Sales2. Handling Distr...
4,Hiring For HR Recruiter ( Internship ) - Work From Home,JCI,"Kolkata, Gorakhpur, Lucknow",0-0 Yrs,"HR
Recruitment
internship
work from home
Incentives
Hiring
wfh
Sourcing","50,000 - 60,000 PA.",Hiring For HR Recruiter - Female - ( Internship ) - Work From Home ---- Excellent Commu...
5,Urgently required Freshers For On job Internship in PHP & MVC,Codeacious Technologies Pvt Ltd,Delhi / NCR,0-1 Yrs,"IT Skills
PHP
MVC
Core PHP","70,000 - 1,25,000 PA.",are available for the work from home job / internshipcan start the work from home job /...
6,Product Support Engineer - Rotational Shift( Internship - 3 months ),Salesken.ai,Bangalore/Bengaluru(Indira Nagar),0-2 Yrs,"HTML
CSS
SQL
VOIP
IT Skills
L1
Product Support","2,50,000 - 3,00,000 PA.","Should have experience in SQL, HTML, CSS Should have knowedge in VOIPShould provide L1 ..."
7,Data Science Internship,Numadic,goa,0-1 Yrs,"Supply chain
data cleansing
data science
Intern
Machine learning
Telematics
Data mining
Internship",Not disclosed,Your mission as a Data Science Intern; You will work with the Data team and following w...
8,Web Development Internship,Numadic,goa,0-1 Yrs,"Web technologies
Analytical
Project management
Web development
Programming
Telematics
Internship
Software solutions",Not disclosed,"Your responsibilities Coordinate with development teams, analysts and product managers ..."
9,Social Media Internship,Numadic,goa,0-1 Yrs,"Head Business Development
Social media
Shaping
Banking
Infrastructure
Brand awareness
Telematics
Internship",Not disclosed,Your responsibilities Work closely with with our product teams to get under the skin of...
10,Sales Associate Internship,Numadic,goa,0-0 Yrs,"management
sales intern
Strategic planning
Telematics
Research
Sales Associate
Internship
Automotive",Not disclosed,Establish first contact map requirement
11,"IT Internship/Trainee - Final Year Students, Freshers (Work From Home)",Emerge Consultancy Services,"New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-0 Yrs,"CSS
Javascript
HTML",Not disclosed,We will provide Experience certificate after successful completion of the Internship pr...
12,Internship openings For Be/BTech freshers at Iqvia,IMS HEALTH ANALYTICS SERVICES,"Kochi/Cochin, Bangalore/Bengaluru",0-0 Yrs,"communication
SQL
Problem Solving",Not disclosed,IQVIA is hiring for BE / BTech (CS or IT) passed out in 2020 and 2021 for internship ro...
13,Job Oriented Internship Program For B-tech/BCA/BSC/MCA/Mtech graduates,IROHUB INFOTECH PRIVATE LIMITED,Kochi/Cochin,0-0 Yrs,"JAVA
Python
iOS
PHP
Android
IT Skills
BTECH FRESHERS
C++",Not disclosed,Candidates should work with Senior Development Team as Intern For 3 months in Python / ...
